Date,Total-Cumulative-Cases,ObjectId,New-Cases,PCR,Recovered,Deaths,Daily-Positive-%age,Country,RDT,Local Transmissions,Imported Cases,GlobalID,Cum-Deaths,Cum-Recovery,CFR%
8/5/2020 12:00:00 AM,4339,71,118,1660,26,3,7.10843373493976,,138,117,1,03e07705-03ee-4ffc-bae4-577926bdd6d5,84,1264,
11/17/2020 12:00:00 AM,,72,,,,,,,,,,d96294cb-7515-4650-8123-d2b54f1638ac,,,
11/18/2020 12:00:00 AM,,73,,,,,,,,,,ba756cb2-c677-4d37-9d0c-690452e27270,,,
8/6/2020 12:00:00 AM,4395,74,56,768,0,13,7.29166666666667,,1503,54,2,017d47fa-0a4c-42ba-ab79-b2a01e12f699,97,1345,
8/7/2020 12:00:00 AM,4451,75,56,961,81,5,5.82726326742976,,1575,54,2,297877e6-5390-47a0-ada4-c0d26620969c,102,1416,
11/19/2020 12:00:00 AM,,76,,,,,,,,,,cc4ba584-7098-4800-92b5-18640e8903cc,,,
11/20/2020 12:00:00 AM,,77,,,,,,,,,,8f74b41b-2396-4186-8df5-5298e82d9256,,,
8/8/2020 12:00:00 AM,4575,78,124,1212,71,0,10.2310231023102,,213,118,6,4fcd0df6-81be-43ce-9caa-c692f890df91,102,1437,
8/9/2020 12:00:00 AM,4649,79,74,1293,21,2,5.723124516628,,4,57,17,55b8b178-582c-41e5-98ef-0b08d75d291e,104,1524,
11/21/2020 12:00:00 AM,,80,,,,,,,,,,ea11db3f-171d-4304-90e7-5595d4882802,,,
11/22/2020 12:00:00 AM,,81,,,,,,,,,,47470104-2726-4a7e-8dab-f5fc0956c237,,,
8/10/2020 12:00:00 AM,4748,82,99,2816,87,0,3.515625,,,68,31,b04652c0-f46b-4f8d-ad69-7ec6f25e8c87,104,1544,
8/11/2020 12:00:00 AM,4818,83,70,1795,20,0,3.89972144846797,,0,70,0,1e5c8d5d-d88b-4a3c-9650-704e74030316,104,1620,
11/23/2020 12:00:00 AM,,84,,,,,,,,,,891addf9-558b-4383-a221-43097be88788,,,
11/24/2020 12:00:00 AM,,85,,,,,,,,,,6fc696f7-6be7-4ad7-96d4-7efb9261b356,,,
8/12/2020 12:00:00 AM,4893,86,75,1411,76,18,5.31537916371368,,,74,1,3b71427f-0c96-4a80-88da-ca2da9a4821e,122,1927,
8/13/2020 12:00:00 AM,4990,87,97,1108,307,6,8.75451263537906,,0,97,0,5615fa33-2880-4e54-8442-5dd566b31eff,128,1998,
11/25/2020 12:00:00 AM,,88,,,,,,,,,,e4fa2acd-79a4-41c8-9b3f-5169495aa6fd,,,
11/26/2020 12:00:00 AM,,89,,,,,,,,,,c41b5b67-462e-4c82-9423-1ba8fae4f251,,,
8/14/2020 12:00:00 AM,5072,90,82,1211,71,0,6.77126341866226,,0,82,0,7fd9d231-f918-4b05-9978-c683396bbb77,128,2047,
8/15/2020 12:00:00 AM,5176,91,104,1389,49,2,7.48740100791937,,,104,0,8edbefdd-3d42-4e59-bf6c-3e75dcaa5bc0,130,2047,
11/27/2020 12:00:00 AM,,92,,,,,,,,,,87a19f25-689d-4da3-82b0-0f7d1a5e68ba,,,
11/28/2020 12:00:00 AM,,93,,,,,,,,,,dd9d3be3-d2cc-45b2-bb54-79c14ebf3f5d,,,
8/16/2020 12:00:00 AM,5261,94,85,1546,45,2,5.4980595084088,,,81,4,ddcf8459-cba0-4535-bf1b-0aa01ae13f90,132,2092,
8/17/2020 12:00:00 AM,5308,95,47,898,1756,3,5.23385300668151,,,42,5,b5f94c7e-15e7-419f-9066-b884be4d6c52,135,3848,
11/29/2020 12:00:00 AM,,96,,,,,,,,,,409e9c9d-d89d-43e6-ad83-dc21ed4e62bb,,,
