,objectid,globalid,reportDate,newRecordsInfo,pcr_newBulawayo,pcr_newHarare,pcr_newManicaland,pcr_newMashCentral,pcr_newMashEast,pcr_newMashWest,pcr_newMidlands,pcr_newMasvingo,pcr_newMatNorth,pcr_newMatSouth,case_newBulawayo,case_newHarare,case_newManicaland,case_newMashCentral,case_newMashEast,case_newMashWest,case_newMidlands,case_newMasvingo,case_newMatNorth,case_newMatSouth,recov_newBulawayo,recov_newHarare,recov_newManicaland,recov_newMashCentral,recov_newMashEast,recov_newMashWest,recov_newMidlands,recov_newMasvingo,recov_newMatNorth,recov_newMatSouth,death_newBulawayo,death_newHarare,death_newManicaland,death_newMashCentral,death_newMashEast,death_newMashWest,death_newMidlands,death_newMasvingo,death_newMatNorth,death_newMatSouth,totalHelpInfo,case_totalBulawayo,case_totalHarare,case_totalManicaland,case_totalMashCentral,case_totalMashEast,case_totalMashWest,case_totalMidlands,case_totalMasvingo,case_totalMatNorth,case_totalMatSouth,recov_totalBulawayo,recov_totalHarare,recov_totalManicaland,recov_totalMashCentral,recov_totalMashEast,recov_totalMashWest,recov_totalMidlands,recov_totalMasvingo,recov_totalMatNorth,recov_totalMatSouth,active_totalBulawayo,active_totalHarare,active_totalManicaland,active_totalMashCentral,active_totalMashEast,active_totalMashWest,active_totalMidlands,active_totalMasvingo,active_totalMatNorth,active_totalMatSouth,death_totalBulawayo,death_totalHarare,death_totalManicaland,death_totalMashCentral,death_totalMashEast,death_totalMashWest,death_totalMidlands,death_totalMasvingo,death_totalMatNorth,death_totalMatSouth,reportStatus,didNotReport,CreationDate,Creator,EditDate,Editor,SHAPE
130,131,7d35274f-354f-4fc5-8cce-1489a0905932,2021-11-16 10:00:00,,192,1941,215,101,270,51,1136,175,327,59,9,6,5,0,5,0,1,4,3,1,3,5,5,0,7,0,0,3,9,0,0,1,0,0,0,0,0,0,0,0,,13358,27608,14432,8478,14323,16401,10229,11200,8209,9267,12582,26064,13859,8214,13930,15888,9812,10928,8071,8989,39,26,108,5,43,17,13,87,37,95,737,1518,465,259,350,496,404,185,101,183,yes,,2021-11-17 07:59:00.207999945,surveyor_jr,2021-11-17 07:59:00.207999945,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
131,132,9ae88748-b833-401b-8c0d-ab8f43274a68,2021-11-19 10:00:00,,290,925,198,123,311,136,80,192,207,188,3,0,7,0,2,0,0,1,5,4,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,13380,27610,14441,8478,14341,16402,10229,11221,8227,9286,12590,26070,13861,8216,13946,15888,9819,10936,8075,8989,53,21,115,3,47,18,6,100,51,114,737,1519,465,259,350,496,404,185,101,183,yes,,2021-11-20 04:56:45.789000034,surveyor_jr,2021-11-20 04:56:45.789000034,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
132,133,58598885-1149-4181-89a5-a8818b33ab27,2021-11-18 10:00:00,,797,1589,241,184,311,136,80,192,207,188,9,1,2,0,8,0,0,5,9,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,13377,27610,14434,8478,14339,16402,10229,11220,8222,9282,12589,26068,13861,8215,13944,15888,9819,10931,8075,8989,51,23,108,4,45,18,6,104,46,110,737,1519,465,259,350,496,404,185,101,183,yes,,2021-11-20 05:00:18.437000036,surveyor_jr,2021-11-20 05:00:18.437000036,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
133,134,fd376cef-6f66-4075-8815-f674dc309c36,2021-11-20 10:00:00,,62,1279,70,123,200,21,106,264,106,188,4,1,1,0,1,1,0,13,2,0,0,0,1,0,7,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,,13384,27611,14442,8478,14342,16403,10229,11234,8229,9286,12590,26070,13862,8216,13951,15888,9819,10947,8084,8989,57,22,115,3,41,19,6,102,44,114,737,1519,465,259,350,496,404,185,101,183,yes,,2021-11-20 22:05:50.755000114,surveyor_jr,2021-11-20 22:05:50.755000114,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
134,135,38f190d7-a85e-41ee-8e3d-cefd3c72b2f4,2021-11-22 12:00:00,,229,2062,221,75,95,75,87,107,146,95,0,9,5,0,2,2,0,8,1,0,4,0,2,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,,13385,27624,14448,8478,14345,16406,10229,11243,8230,9286,12596,26070,13864,8216,13951,15888,9819,10984,8088,8989,52,35,119,3,44,22,6,74,41,114,737,1519,465,259,350,496,404,185,101,183,yes,,2021-11-23 00:19:03.707000017,surveyor_jr,2021-11-23 00:19:03.707000017,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
135,136,14df7c34-98f4-4863-830b-059e9ac06c82,2021-11-21 12:00:00,,39,805,54,8,0,33,79,123,69,4,1,4,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,,13385,27615,14443,8478,14343,16404,10229,11235,8229,9286,12592,26070,13862,8216,13951,15888,9819,10966,8084,8989,56,26,116,3,42,20,6,84,44,114,737,1519,465,259,350,496,404,185,101,183,yes,,2021-11-23 00:22:51.576999903,surveyor_jr,2021-11-23 00:22:51.576999903,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
136,137,36da8070-03e0-406a-8113-be084856daf5,2021-11-24 12:00:00,,287,1656,176,55,0,28,156,250,235,22,1,9,3,0,4,0,12,4,4,5,3,1,0,0,7,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,,13389,27644,14456,8478,14352,16406,10247,11249,8235,9291,12605,26071,13864,8218,13965,15888,9819,10998,8100,8989,46,52,127,1,37,22,24,66,33,119,738,1521,465,259,250,496,404,185,102,183,yes,,2021-11-25 21:16:22.125000000,surveyor_jr,2021-11-25 21:16:22.125000000,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
137,138,5731562d-d34c-4927-893f-16baa37ce752,2021-11-25 12:00:00,,178,1149,49,58,0,40,211,440,148,18,5,5,4,2,0,1,2,6,0,2,2,2,0,0,0,15,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,13394,27649,14460,8480,14352,16407,10249,11255,8235,9293,12607,26073,13864,8218,13965,15903,9819,11002,8100,8989,49,54,131,3,37,8,26,68,33,121,738,1522,465,259,350,496,404,185,102,183,yes,,2021-11-25 21:19:17.717999935,surveyor_jr,2021-11-25 21:19:17.717999935,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
138,139,af9a38ba-5b04-41d6-87b0-31462dad7842,2021-11-25 12:00:00,,178,1149,49,58,0,40,211,440,148,18,5,5,4,2,0,1,2,6,0,2,2,2,0,0,0,15,0,4,0,0,0,1,0,0,0,0,0,0,0,0,,13394,27649,14460,8480,14352,16407,10249,11255,8235,9293,12607,26073,13864,8218,13965,15903,9819,11002,8100,8989,49,54,131,3,37,8,26,68,33,121,738,1522,465,259,350,496,404,185,102,183,yes,,2021-11-26 22:37:33.494999886,surveyor_jr,2021-11-26 22:37:33.494999886,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
139,140,5b4237c5-d427-4f9c-8d96-ec457acb6e06,2021-11-26 12:00:00,,215,1170,128,0,146,0,475,156,429,0,7,5,7,1,5,0,20,3,5,9,4,2,63,0,0,0,1,15,2,0,0,0,0,0,0,0,0,0,0,0,,13401,27654,14467,8481,14357,16407,10269,11258,8240,9302,12611,26075,13927,8218,13965,15903,9820,11017,8102,8989,52,57,75,4,42,8,45,56,36,130,738,1522,465,259,350,496,404,185,102,183,yes,,2021-11-26 22:42:02.088000059,surveyor_jr,2021-11-26 22:42:02.088000059,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
140,141,867ec005-4bc1-45bd-8845-ecab0fcc63b8,2021-11-27 10:00:00,,200,2917,125,33,159,31,78,435,105,69,3,17,3,0,6,3,0,82,1,0,1,0,4,0,4,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,,13404,27671,14470,8481,14363,16410,10269,11340,8241,9302,12612,26075,13931,8218,13969,15903,9820,11022,8107,8989,54,74,74,4,44,11,45,133,31,130,738,1522,465,259,350,496,404,185,103,183,yes,,2021-11-28 13:35:25.233999968,surveyor_jr,2021-11-28 13:35:25.233999968,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
141,142,f9ddaa63-6f26-4c33-8e6d-6cf12b175554,2021-11-28 10:00:00,,206,634,0,6,0,0,81,91,17,9,1,16,10,0,4,2,0,6,1,0,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,13405,27687,14480,8481,14367,16412,10269,11346,8242,9302,12618,26077,13931,8218,13969,15903,9820,11023,8107,8989,49,88,84,4,48,13,45,138,32,130,738,1522,465,259,350,496,404,185,103,183,yes,,2021-11-29 05:11:20.548000097,surveyor_jr,2021-11-29 05:11:20.548000097,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
142,143,e177a60b-6b38-4adb-86e5-4499cdcd6ec0,2021-11-29 10:00:00,,386,1119,192,119,424,74,184,423,146,0,19,60,35,0,19,2,10,82,8,0,7,10,2,0,5,0,0,13,11,0,0,0,0,0,1,0,0,0,0,0,,13424,27747,14515,8481,14386,16414,10279,11428,8250,9302,12625,26087,13933,8218,13974,15903,9820,11036,8118,8989,61,138,117,4,61,15,55,207,29,130,738,1522,465,259,351,496,404,185,103,183,yes,,2021-11-30 06:39:06.290999889,surveyor_jr,2021-11-30 06:39:06.290999889,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
143,144,e7634281-1c28-4592-8722-b3b814b9b05f,2021-11-30 10:00:00,,360,2564,263,144,192,236,325,325,270,0,36,82,84,16,30,8,37,31,26,49,9,6,0,0,4,5,0,9,11,0,0,0,0,0,0,0,0,1,0,0,,13460,27829,14599,8497,14416,16422,10316,11459,8276,9351,12634,26093,13933,8218,13978,15908,9820,11045,8129,8989,88,214,201,20,87,18,92,228,44,179,738,1522,465,259,351,496,404,186,103,183,yes,,2021-12-01 06:09:51.494999886,surveyor_jr,2021-12-01 06:09:51.494999886,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
144,145,c4959945-5b6b-4beb-80b8-a1def0d5fbb6,2021-12-01 10:00:00,,280,2333,422,323,183,598,795,353,358,503,72,246,139,8,72,20,56,60,32,7,13,1,3,0,0,13,0,4,3,0,0,0,0,0,0,0,0,0,0,0,,13532,28075,14738,8505,14488,16442,10372,11519,8308,9358,12647,26094,13936,8218,13978,15921,9820,11049,8132,8989,147,459,337,28,159,25,148,284,73,186,738,1522,465,259,351,496,404,186,103,183,yes,,2021-12-02 06:22:42.618999958,surveyor_jr,2021-12-02 06:22:42.618999958,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
145,146,b5e9ace8-c2bc-43d9-83f0-9589f5cf0d09,2021-12-02 10:00:00,,370,4454,409,205,530,137,1295,311,379,202,158,377,158,7,92,33,44,59,18,96,9,1,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,,13690,28452,14896,8512,14580,16475,10416,11578,8326,9454,12656,26095,13936,8218,13978,15921,9853,11051,8132,8989,296,835,495,35,251,58,159,341,91,282,738,1522,465,259,351,496,404,186,103,183,yes,,2021-12-03 19:05:56.078000069,surveyor_jr,2021-12-03 19:05:56.078000069,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
146,147,0d0dd20c-51ec-4168-8f0e-03c7e06ab21d,2021-12-03 10:00:00,,649,2172,549,278,559,90,670,322,513,295,124,366,156,35,131,51,44,52,36,67,3,8,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,,13814,28818,15052,8547,14711,16526,10460,11630,8362,9521,12659,26095,13938,8218,13938,15921,9853,11055,8133,8989,417,1193,649,70,382,108,203,389,126,349,738,1522,465,259,351,497,404,186,103,183,yes,,2021-12-04 06:38:26.812999964,surveyor_jr,2021-12-04 06:38:26.812999964,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
147,148,e832c4a6-bc4b-440f-8346-140eed0d8004,2021-12-04 12:00:00,,362,4950,261,150,423,215,225,249,206,58,93,343,94,28,89,76,284,33,13,29,1,1,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,1,0,,13907,29161,15146,8575,14800,16602,10744,11663,8375,9550,12660,26096,13938,8218,13978,15921,9859,11057,8134,8989,509,1535,743,98,471,184,481,420,137,378,738,1522,465,259,351,497,404,186,104,183,yes,,2021-12-05 18:06:50.102999926,surveyor_jr,2021-12-05 18:06:50.102999926,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
148,149,832143d0-6229-4968-82b6-87876a7d3455,2021-12-05 12:00:00,,382,1080,167,54,181,36,262,229,66,43,124,142,45,16,66,36,0,48,19,27,3,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,,14031,29303,15191,8591,14866,16638,10744,11711,8394,9577,12663,26108,13938,8218,13978,15921,9859,11060,8134,8989,630,1672,788,114,537,220,481,465,156,405,738,1523,465,259,351,497,404,186,104,183,yes,,2021-12-06 07:34:46.963999987,surveyor_jr,2021-12-06 07:34:46.963999987,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
149,150,059e0d76-8278-4db5-8f67-f25148cf8ccb,2021-12-06 12:00:00,,200,3635,586,197,716,511,805,726,935,69,247,918,279,97,293,97,207,168,104,145,0,9,0,2,0,0,0,82,5,0,0,1,1,0,0,0,0,1,0,0,,14278,30221,15470,8688,15159,16735,10951,11879,8498,9722,12663,26117,13938,8220,13978,15921,9859,11142,8139,8989,877,2580,1066,209,830,317,688,550,255,550,738,1524,466,259,351,497,404,187,104,183,yes,,2021-12-07 12:02:17.865000010,surveyor_jr,2021-12-07 12:02:17.865000010,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
150,151,c170c812-1805-4085-8d30-0908e9ac5559,2021-12-07 12:00:00,,503,2864,2867,330,474,1064,1459,1082,457,435,342,1176,409,109,601,429,279,356,133,197,3,0,2,0,0,0,27,6,2,0,0,4,0,0,0,1,0,0,0,0,,14620,31397,15879,8797,15760,17164,11230,12235,8631,9919,12666,26117,13940,8220,13978,15921,9886,11148,8141,8989,1216,3752,1473,318,1431,745,940,900,386,747,738,1528,466,259,351,498,404,187,104,183,yes,,2021-12-08 08:23:27.078000069,surveyor_jr,2021-12-08 08:23:27.078000069,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
151,152,016a89fb-626d-4b3b-836c-10c022755c86,2021-12-08 12:00:00,,540,7030,1209,399,511,1945,887,743,902,0,338,1558,405,207,663,541,629,252,213,190,1,5,0,0,0,0,0,83,0,0,0,2,0,0,0,0,0,0,0,0,,14958,32955,16284,9004,16423,17705,11859,12487,8844,10109,12667,26122,13940,8220,13978,15921,9886,11231,8141,8989,1553,5303,1878,525,2094,1286,1569,1069,599,937,738,1530,466,259,351,498,404,187,104,183,yes,,2021-12-09 11:21:22.484999895,surveyor_jr,2021-12-09 11:21:22.484999895,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
152,153,afe11dd3-faff-49ab-8523-84a05e159343,2021-12-11 09:00:00,,1055,2659,424,199,701,1081,598,583,187,1089,390,861,281,101,416,245,270,204,124,112,3,17,0,26,0,0,0,59,15,0,3,0,1,0,0,0,2,0,0,0,,16501,37072,17711,9563,18180,19428,12871,13655,9519,10765,12682,26156,13940,8246,13978,16147,9886,11381,8157,8989,3078,9382,3304,1058,3850,2783,2577,1824,1256,1563,741,1534,467,259,352,498,408,187,106,183,yes,,2021-12-12 14:40:12.216000080,surveyor_jr,2021-12-12 14:40:12.216000080,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
153,154,554abd88-0f8f-4b18-8a71-cb014f220b35,2021-12-10 09:00:00,,1073,5386,1300,777,986,774,1364,682,1196,1342,474,1753,694,281,633,780,576,389,280,321,7,12,0,0,0,226,0,60,1,0,0,1,0,0,1,0,2,0,2,0,,16111,36211,17430,9462,17764,19181,12601,13188,9395,10653,12679,26139,13940,8220,13978,16147,9886,11322,8142,8989,2694,8538,3024,983,3434,2538,2309,1679,1147,1481,738,1534,466,259,352,498,406,187,106,183,yes,,2021-12-12 14:46:27.915999889,surveyor_jr,2021-12-12 14:46:27.915999889,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
154,155,3f163bc8-be5b-453f-8765-ffec6d1f7748,2021-12-09 09:00:00,,872,4338,1824,247,1236,1760,152,1118,912,440,679,1503,452,177,708,698,166,312,271,223,5,5,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,0,0,0,,15637,34458,16736,9181,17131,18403,12025,12799,9115,10332,12672,26127,13940,8220,13978,15921,9886,11262,8141,8989,2227,6798,2330,702,2802,1984,1735,1350,870,1160,738,1533,466,259,351,498,404,187,104,183,yes,,2021-12-12 14:52:54.680999994,surveyor_jr,2021-12-12 14:52:54.680999994,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
155,156,c59f87a7-1166-4b5f-8ee4-2eb4d6bb4692,2021-12-12 10:00:00,,341,5226,416,495,582,0,808,403,292,119,200,594,237,106,232,202,147,110,108,202,1,16,64,0,1,0,64,52,16,0,2,1,0,0,0,0,0,0,0,0,,16701,37666,17948,9669,18412,19630,13018,13502,9627,10967,12683,26172,14004,8246,13979,16147,9950,11433,8173,8989,3275,9959,3477,1164,4081,2985,2660,1882,1348,1795,743,1535,467,259,352,498,408,187,106,183,yes,,2021-12-12 20:28:42.328999996,surveyor_jr,2021-12-12 20:28:42.328999996,surveyor_jr,"{'x': 0, 'y': 0, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
