PROVINCE,NUMBER_OF_CASES,RECOVERED,DEATHS,ACTIVE_CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,cases_per_100k,deaths_per_100K,CreationDate,Creator,EditDate,Editor
Manicaland,"494","452","22","20","1752698","3",Manicaland,ZWE,32.3963183560001,-19.06493203,c945ce20-5748-4c20-88a1-2072b5c270e0,28.1851180294609,1.25520768552255
Mashonaland Central,"206","202","4","0","1152520","4",Mashonaland Central,ZWE,31.1929277470001,-16.702765939,6e054a2b-8657-447f-a428-4b280cc7492a,17.8738763752473,0.347065560684413
Masvingo,"233","230","2","1","1485090","8",Masvingo,ZWE,31.240226331,-20.788696274,1e65b084-330c-488e-89d8-596877afa78a,15.6892848244888,0.134671972742393
Mashonaland East,"410","392","4","14","1344955","5",Mashonaland East,ZWE,31.693235175,-17.985081387,ad275413-3776-48df-972a-5a8bf1f21da8,30.4842912959913,0.297407719960891
Harare,"3274","2015","121","1138","2123132","2",Harare,ZWE,31.0576808120001,-17.844411452,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,154.206144507266,5.69912751538764
Matebeleland South,"778","769","7","2","683893","10",Matabeleland South,ZWE,28.9903880460001,-21.00874349,4002703d-b83f-444f-80fa-dab443480731,113.760485923968,1.02355192990716
Bulawayo,"1503","1383","46","74","1200676","1",Bulawayo,ZWE,28.5570798700001,-20.135268971,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,125.179482225013,3.83117510469102
Matebeleland North,"139","131","3","5","749017","9",Matabeleland North,ZWE,27.395881687,-18.8452182149999,a58ca9eb-8590-46a7-89c6-f0042e8c7786,18.5576562347717,0.400524954707303
Mashonaland West,"340","306","12","22","1501656","6",Mashonaland West,ZWE,29.7473862420001,-17.2018289439999,acf3551f-ab04-49c5-b56a-f5262d3d71c3,22.6416702626967,0.799117773977529
PROVINCE,NUMBER OF CASES,RECOVERED,DEATHS,ACTIVE CASES,POPULATION,ObjectId,Region,Country,X,Y,GlobalID,Cases per 100K,Deaths Per 100K,CreationDate,Creator,EditDate,Editor,x2,y2
Bulawayo,1752,1593,65,94,1200676,1,Bulawayo,ZWE,28.56,-20.14,9647e09d-b00e-4b75-b91d-e4ebdbbbcdbc,145.9177996,5.413616996,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,28.55707987,-20.13526897
Harare,3333,3143,121,69,2123132,2,Harare,ZWE,31.05768081,-17.84441145,4fb9e50c-d315-47b1-8428-6f3bbecda9fb,156.9850579,5.699127515,10/12/2020 9:40,surveyor_jr,11/8/2020 20:37,surveyor_jr,31.05768081,-17.84441145
